measure,value,basis_or_source
start_date,2025-05-27,https://dps.psx.com.pk/timeseries/eod/SYS
start_price_pkr,539.94,https://dps.psx.com.pk/timeseries/eod/SYS
end_date,2025-06-30,https://dps.psx.com.pk/timeseries/eod/SYS
end_price_pkr,107,https://dps.psx.com.pk/timeseries/eod/SYS
share_factor,5,https://dps.psx.com.pk/download/attachment/254268-1.pdf
starting_amount_pkr,100000,assumed amount; fractional units allowed
before_units,185.2057636,"site calculation; excludes cash dividends, costs and tax"
after_units,926.028818,"site calculation; excludes cash dividends, costs and tax"
raw_final,19817.01671,"site calculation; excludes cash dividends, costs and tax"
adjusted_final,99085.08353,"site calculation; excludes cash dividends, costs and tax"
raw_return,-80.18298329,"site calculation; excludes cash dividends, costs and tax"
adjusted_return,-0.9149164722,"site calculation; excludes cash dividends, costs and tax"
