month,annual_rate_percent,gross_coupon_pkr,cumulative_profit_pkr,principal_returned_at_maturity_pkr,source
6,11.2,5600,5600,0,https://savings.gov.pk/special-savings-certificates/
12,11.2,5600,11200,0,https://savings.gov.pk/special-savings-certificates/
18,11.2,5600,16800,0,https://savings.gov.pk/special-savings-certificates/
24,11.2,5600,22400,0,https://savings.gov.pk/special-savings-certificates/
30,11.2,5600,28000,0,https://savings.gov.pk/special-savings-certificates/
36,12.6,6300,34300,100000,https://savings.gov.pk/special-savings-certificates/
